Date/Time:,3/13/2020 8:47,,,,,
Film name:,Poly on 1000A Oxide,,,,,
Stage group:,49 pts radial,,,,,
Lot ID:,kk_0312 sel_post,,,,,
Wafer ID:,# 25,,,,,
Cassette recipe name:,SemiAuto -,,,,,
Wafer recipe name:,POLY ON 1K OXIDE 49PT 3mmEE,,,,,
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex,,,,,
Title:,Point#,SiO2 (Å),Poly (Å),MSE,X(mm),Y(mm)
,30,1000,4837.98,21.59,127.306,73.5
,31,1000,4864.07,21.97,141.991,38.047
,32,1000,4897.03,22.74,147,0
,33,1000,4934.44,23.72,141.991,-38.046
,34,1000,4959.55,24.2,127.306,-73.5
,35,1000,4971.65,24.41,103.945,-103.944
,36,1000,4968.06,24.5,73.5,-127.306
,37,1000,4941.61,23.79,38.047,-141.991
,38,1000,4905.98,23.13,0,-147
,39,1000,4860.17,22.2,-38.046,-141.991
,40,1000,4824.59,22.15,-73.5,-127.306
,41,1000,4801.55,21.6,-103.944,-103.945
,42,1000,4809.54,21.7,-127.305,-73.5
,43,1000,4844.81,21.35,-141.991,-38.047
,44,1000,4892.48,22.15,-147,-0.001
,45,1000,4973.88,22.59,-141.991,38.046
,46,1000,5010.01,24.82,-127.306,73.499
,47,1000,5149.4,24.1,-103.945,103.944
,48,1000,5189.94,23.05,-73.501,127.305
,49,1000,4991.07,24.28,-38.047,141.991
,,,,,,
Max,,1000,5189.94,25.73,,
Min,,1000,4801.55,21.08,,
Range,,0,388.39,4.65,,
Mean,,1000,4920.76,23.4822,,
StdD,,0,72.95,1.2059,,
%StdD,,0,1.48,5.1355,,
%NonU,,0,3.95,9.9011,,
CTE,,N/A,N/A,N/A,,
,,,,,,
Date/Time:,3/13/2020 8:35,,,,,
Film name:,SIN ON 1K FIX OX RC,,,,,
Stage group:,49 pts radial,,,,,
Lot ID:,kk_0312 sel_post,,,,,
Wafer ID:,# 19,,,,,
Cassette recipe name:,SemiAuto -,,,,,
Wafer recipe name:,Nitride on 1kA Fix Ox 49pt 3mm,,,,,
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex,,,,,
Title:,Point#,SiO2 (Å),Si3N4 (Å),MSE,X(mm),Y(mm)
,1,1000,2711.78,0.0038,0,0
