

Date/Time:,13-Mar-20 08:47:12 AM
Film name:,Poly on 1000A Oxide
Stage group:,49 pts radial
Lot ID:,kk_0312 sel_post
Wafer ID:,# 25
Cassette recipe name:,SemiAuto -
Wafer recipe name:,POLY ON 1K OXIDE 49PT 3mmEE
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Poly (Å),MSE,X(mm),Y(mm)
,2,1000.00,4926.94,23.5100,0.000,49.000
,3,1000.00,4904.65,23.4200,34.648,34.648
,4,1000.00,4900.86,23.7600,49.000,0.000
,5,1000.00,4906.60,23.9100,34.648,-34.648
,6,1000.00,4897.93,23.9000,0.000,-49.000
,7,1000.00,4886.44,23.4100,-34.648,-34.648
,8,1000.00,4903.93,23.1700,-49.000,-0.000
,9,1000.00,4932.92,23.4100,-34.648,34.648
,10,1000.00,4964.77,23.8900,0.000,98.000
,11,1000.00,4917.33,23.1500,37.503,90.540
,12,1000.00,4892.40,23.2500,69.296,69.297
,13,1000.00,4893.18,23.6600,90.540,37.503
,14,1000.00,4911.33,24.2600,98.000,0.000
,15,1000.00,4934.65,24.8400,90.540,-37.503
,16,1000.00,4950.91,25.1800,69.297,-69.296
,17,1000.00,4946.73,25.1900,37.503,-90.540
,18,1000.00,4923.06,24.5300,0.000,-98.000
,19,1000.00,4891.09,24.0300,-37.503,-90.540
,20,1000.00,4868.22,23.6600,-69.296,-69.297
,21,1000.00,4870.20,23.0100,-90.540,-37.503
,22,1000.00,4903.52,23.2200,-98.000,-0.000
,23,1000.00,4953.20,24.1800,-90.540,37.503
,24,1000.00,5001.71,24.8200,-69.297,69.296
,25,1000.00,5016.18,24.9900,-37.503,90.540
,26,1000.00,4953.75,22.7500,0.000,147.000
,27,1000.00,4901.11,21.1400,38.046,141.991
,28,1000.00,4853.65,21.2000,73.500,127.306
,29,1000.00,4830.06,20.9900,103.945,103.945
,30,1000.00,4832.72,21.2900,127.306,73.500
,31,1000.00,4853.79,21.6300,141.991,38.047
,32,1000.00,4885.03,21.9300,147.000,0.000
,33,1000.00,4919.87,22.7700,141.991,-38.046
,34,1000.00,4950.32,22.8600,127.306,-73.500
,35,1000.00,4971.78,23.9700,103.945,-103.944
,36,1000.00,4972.53,24.1600,73.500,-127.306
,37,1000.00,4957.28,23.6400,38.047,-141.991
,38,1000.00,4930.00,22.9100,0.000,-147.000
,39,1000.00,4880.87,22.2800,-38.046,-141.991
,40,1000.00,4837.92,22.0400,-73.500,-127.306
,41,1000.00,4808.23,21.8700,-103.944,-103.945
,42,1000.00,4805.41,21.0400,-127.305,-73.500
,43,1000.00,4821.32,21.4100,-141.991,-38.047
,44,1000.00,4869.13,21.2800,-147.000,-0.001
,45,1000.00,4940.24,22.3400,-141.991,38.046
,46,1000.00,5002.27,23.4600,-127.306,73.499
,47,1000.00,5011.24,26.4100,-103.945,103.944
,48,1000.00,5230.68,22.5800,-73.501,127.305
,49,1000.00,5093.83,24.8700,-38.047,141.991

Max,,1000.00,5230.68,26.4100
Min,,1000.00,4805.41,20.9900
Range,,0.00,425.27,5.4200
Mean,,1000.00,4920.64,23.2367
StdD,,0.00,72.96,1.2613
%StdD,,0.00,1.48,5.4280
%NonU,,0.00,4.32,11.6626
CTE,,N/A,N/A,N/A

Date/Time:,13-Mar-20 08:37:54 AM
Film name:,Poly on 1000A Oxide
Stage group:,49 pts radial
Lot ID:,kk_0312 sel_post
Wafer ID:,# 21
Cassette recipe name:,SemiAuto -
Wafer recipe name:,POLY ON 1K OXIDE 49PT 3mmEE
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Poly (Å),MSE,X(mm),Y(mm)
,1,1000.00,4902.65,23.6100,0.000,0.000
,2,1000.00,4923.96,23.6800,0.000,49.000
,3,1000.00,4900.71,23.6900,34.648,34.648
,4,1000.00,4901.98,24.3800,49.000,0.000
,5,1000.00,4905.52,24.4100,34.648,-34.648
,6,1000.00,4896.17,23.9600,0.000,-49.000
,7,1000.00,4890.53,23.6000,-34.648,-34.648
,8,1000.00,4911.41,23.5900,-49.000,-0.000
,9,1000.00,4936.83,23.7600,-34.648,34.648
,10,1000.00,4947.92,23.8200,0.000,98.000
,11,1000.00,4905.29,23.4200,37.503,90.540
,12,1000.00,4887.69,23.5100,69.296,69.297
,13,1000.00,4895.63,23.9300,90.540,37.503
,14,1000.00,4916.84,24.7600,98.000,0.000
,15,1000.00,4938.65,24.8800,90.540,-37.503
,16,1000.00,4949.95,25.7300,69.297,-69.296
,17,1000.00,4938.69,25.0400,37.503,-90.540
,18,1000.00,4912.60,24.8000,0.000,-98.000
,19,1000.00,4881.55,24.0800,-37.503,-90.540
,20,1000.00,4869.30,23.9400,-69.296,-69.297
,21,1000.00,4880.10,23.0700,-90.540,-37.503
,22,1000.00,4920.93,23.6900,-98.000,-0.000
,23,1000.00,4973.12,24.6500,-90.540,37.503
,24,1000.00,5021.06,25.5300,-69.297,69.296
,25,1000.00,5007.23,25.0600,-37.503,90.540
,26,1000.00,4928.84,21.4600,0.000,147.000
,27,1000.00,4880.98,22.1800,38.046,141.991
,28,1000.00,4834.97,21.0800,73.500,127.306
,29,1000.00,4828.37,21.2800,103.945,103.945
,30,1000.00,4837.98,21.5900,127.306,73.500
,31,1000.00,4864.07,21.9700,141.991,38.047
,32,1000.00,4897.03,22.7400,147.000,0.000
,33,1000.00,4934.44,23.7200,141.991,-38.046
,34,1000.00,4959.55,24.2000,127.306,-73.500
,35,1000.00,4971.65,24.4100,103.945,-103.944
,36,1000.00,4968.06,24.5000,73.500,-127.306
,37,1000.00,4941.61,23.7900,38.047,-141.991
,38,1000.00,4905.98,23.1300,0.000,-147.000
,39,1000.00,4860.17,22.2000,-38.046,-141.991
,40,1000.00,4824.59,22.1500,-73.500,-127.306
,41,1000.00,4801.55,21.6000,-103.944,-103.945
,42,1000.00,4809.54,21.7000,-127.305,-73.500
,43,1000.00,4844.81,21.3500,-141.991,-38.047
,44,1000.00,4892.48,22.1500,-147.000,-0.001
,45,1000.00,4973.88,22.5900,-141.991,38.046
,46,1000.00,5010.01,24.8200,-127.306,73.499
,47,1000.00,5149.40,24.1000,-103.945,103.944
,48,1000.00,5189.94,23.0500,-73.501,127.305
,49,1000.00,4991.07,24.2800,-38.047,141.991

Max,,1000.00,5189.94,25.7300
Min,,1000.00,4801.55,21.0800
Range,,0.00,388.39,4.6500
Mean,,1000.00,4920.76,23.4822
StdD,,0.00,72.95,1.2059
%StdD,,0.00,1.48,5.1355
%NonU,,0.00,3.95,9.9011
CTE,,N/A,N/A,N/A

Date/Time:,13-Mar-20 08:35:34 AM
Film name:,SIN ON 1K FIX OX RC
Stage group:,49 pts radial
Lot ID:,kk_0312 sel_post
Wafer ID:,# 19
Cassette recipe name:,SemiAuto -
Wafer recipe name:,Nitride on 1kA Fix Ox 49pt 3mm
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Si3N4 (Å),MSE,X(mm),Y(mm)
,1,1000.00,2711.78,0.0038,0.000,0.000
,2,1000.00,2717.40,0.0045,0.000,49.000
,3,1000.00,2730.64,0.0040,34.648,34.648
,4,1000.00,2740.18,0.0043,49.000,0.000
,5,1000.00,2741.57,0.0040,34.648,-34.648
,6,1000.00,2738.11,0.0035,0.000,-49.000
,7,1000.00,2726.63,0.0052,-34.648,-34.648
,8,1000.00,2713.81,0.0049,-49.000,-0.000
,9,1000.00,2710.16,0.0042,-34.648,34.648
,10,1000.00,2755.14,0.0026,0.000,98.000
,11,1000.00,2769.42,0.0041,37.503,90.540
,12,1000.00,2785.92,0.0052,69.296,69.297
,13,1000.00,2797.18,0.0051,90.540,37.503
,14,1000.00,2802.86,0.0055,98.000,0.000
,15,1000.00,2797.93,0.0073,90.540,-37.503
,16,1000.00,2792.95,0.0057,69.297,-69.296
,17,1000.00,2794.45,0.0037,37.503,-90.540
,18,1000.00,2794.63,0.0033,0.000,-98.000
,19,1000.00,2787.60,0.0035,-37.503,-90.540
,20,1000.00,2770.64,0.0040,-69.296,-69.297
,21,1000.00,2754.40,0.0037,-90.540,-37.503
,22,1000.00,2742.60,0.0013,-98.000,-0.000
,23,1000.00,2736.71,0.0004,-90.540,37.503
,24,1000.00,2737.81,0.0005,-69.297,69.296
,25,1000.00,2744.66,0.0003,-37.503,90.540
,26,1000.00,2757.31,0.0018,0.000,147.000
,27,1000.00,2770.05,0.0041,38.046,141.991
,28,1000.00,2785.60,0.0055,73.500,127.306
,29,1000.00,2805.27,0.0052,103.945,103.945
,30,1000.00,2818.32,0.0052,127.306,73.500
,31,1000.00,2828.15,0.0044,141.991,38.047
,32,1000.00,2843.72,0.0043,147.000,0.000
,33,1000.00,2855.93,0.0041,141.991,-38.046
,34,1000.00,2807.38,0.0030,127.306,-73.500
,35,1000.00,2815.32,0.0029,103.945,-103.944
,36,1000.00,2879.07,0.0035,73.500,-127.306
,37,1000.00,2787.27,0.0036,38.047,-141.991
,38,1000.00,2856.89,0.0036,0.000,-147.000
,39,1000.00,2843.54,0.0041,-38.046,-141.991
,40,1000.00,2804.83,0.0033,-73.500,-127.306
,41,1000.00,2780.95,0.0034,-103.944,-103.945
,42,1000.00,2769.81,0.0038,-127.305,-73.500
,43,1000.00,2754.43,0.0020,-141.991,-38.047
,44,1000.00,2745.25,0.0005,-147.000,-0.001
,45,1000.00,2733.02,0.0004,-141.991,38.046
,46,1000.00,2729.64,0.0004,-127.306,73.499
,47,1000.00,2733.41,0.0004,-103.945,103.944
,48,1000.00,2741.61,0.0004,-73.501,127.305
,49,1000.00,2744.58,0.0008,-38.047,141.991

Max,,1000.00,2879.07,0.0073
Min,,1000.00,2710.16,0.0003
Range,,0.00,168.91,0.0070
Mean,,1000.00,2773.19,0.0034
StdD,,0.00,41.88,0.0017
%StdD,,0.00,1.51,51.3244
%NonU,,0.00,3.05,103.5184
CTE,,N/A,N/A,N/A

Date/Time:,13-Mar-20 08:33:14 AM
Film name:,SIN ON 1K FIX OX RC
Stage group:,49 pts radial
Lot ID:,kk_0312 sel_post
Wafer ID:,# 18
Cassette recipe name:,SemiAuto -
Wafer recipe name:,Nitride on 1kA Fix Ox 49pt 3mm
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Si3N4 (Å),MSE,X(mm),Y(mm)
,1,1000.00,2723.70,0.0038,0.000,0.000
