

Date/Time:,13-Mar-20 08:47:12 AM
Film name:,Poly on 1000A Oxide
Stage group:,49 pts radial
Lot ID:,kk_0312 sel_post
Wafer ID:,# 25
Cassette recipe name:,SemiAuto -
Wafer recipe name:,POLY ON 1K OXIDE 49PT 3mmEE
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Poly (Å),MSE,X(mm),Y(mm)
,36,1000.00,5056.64,34.1700,73.500,-127.306
,37,1000.00,5041.21,34.4300,38.047,-141.991
,38,1000.00,5055.66,35.4800,0.000,-147.000
,39,1000.00,5076.33,36.0100,-38.046,-141.991
,40,1000.00,5105.42,36.7600,-73.500,-127.306
,41,1000.00,5131.37,37.0900,-103.944,-103.945
,42,1000.00,5149.41,36.4700,-127.305,-73.500
,43,1000.00,5148.19,36.6400,-141.991,-38.047
,44,1000.00,5135.27,36.9200,-147.000,-0.001
,45,1000.00,5103.17,37.0100,-141.991,38.046
,46,1000.00,5061.81,36.5500,-127.306,73.499
,47,1000.00,5008.84,35.0700,-103.945,103.944
,48,1000.00,4968.54,33.1400,-73.501,127.305
,49,1000.00,4950.55,32.0900,-38.047,141.991

Max,,1000.00,5361.83,37.1800
Min,,1000.00,4950.55,31.5600
Range,,0.00,411.28,5.6200
Mean,,1000.00,5103.65,34.6680
StdD,,0.00,76.11,1.8004
%StdD,,0.00,1.49,5.1932
%NonU,,0.00,4.03,8.1055
CTE,,N/A,N/A,N/A

Date/Time:,12-Mar-20 11:22:08 AM
Film name:,Poly on 1000A Oxide
Stage group:,49 pts radial
Lot ID:,kk_0312 Sel_pre
Wafer ID:,# 23 - Poly
Cassette recipe name:,SemiAuto -
Wafer recipe name:,POLY ON 1K OXIDE 49PT 3mmEE
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Poly (Å),MSE,X(mm),Y(mm)
,1,1000.00,5079.48,35.9600,0.000,0.000
,2,1000.00,5097.76,36.3200,0.000,49.000
,3,1000.00,5100.14,37.2900,34.648,34.648
,4,1000.00,5088.52,37.0400,49.000,0.000
,5,1000.00,5068.49,36.6000,34.648,-34.648
,6,1000.00,5066.88,35.9800,0.000,-49.000
,7,1000.00,5096.93,35.1300,-34.648,-34.648
,8,1000.00,5120.26,34.6600,-49.000,-0.000
,9,1000.00,5109.93,35.1500,-34.648,34.648
,10,1000.00,5118.63,37.3500,0.000,98.000
,11,1000.00,5130.29,37.4400,37.503,90.540
,12,1000.00,5146.42,37.5000,69.296,69.297
,13,1000.00,5154.53,37.2300,90.540,37.503
,14,1000.00,5143.60,37.2500,98.000,0.000
,15,1000.00,5115.41,37.7400,90.540,-37.503
,16,1000.00,5073.40,37.4700,69.297,-69.296
,17,1000.00,5044.13,36.7200,37.503,-90.540
,18,1000.00,5046.04,36.3200,0.000,-98.000
,19,1000.00,5082.98,35.9200,-37.503,-90.540
,20,1000.00,5140.96,34.5200,-69.296,-69.297
,21,1000.00,5190.69,32.7400,-90.540,-37.503
,22,1000.00,5212.35,32.7200,-98.000,-0.000
,23,1000.00,5179.21,33.4800,-90.540,37.503
,24,1000.00,5143.42,35.2800,-69.297,69.296
,25,1000.00,5119.26,36.5700,-37.503,90.540
,26,1000.00,5080.00,37.0200,0.000,147.000
,27,1000.00,5101.73,37.5400,38.046,141.991
,28,1000.00,5132.53,38.0100,73.500,127.306
,29,1000.00,5165.47,37.9300,103.945,103.945
,30,1000.00,5174.37,37.8000,127.306,73.500
,31,1000.00,5181.62,37.9000,141.991,38.047
,32,1000.00,5170.49,38.2000,147.000,0.000
,33,1000.00,5141.03,38.5000,141.991,-38.046
,34,1000.00,5094.35,38.7200,127.306,-73.500
,35,1000.00,5037.04,37.5700,103.945,-103.944
,36,1000.00,4984.64,35.5800,73.500,-127.306
,37,1000.00,4954.34,33.9900,38.047,-141.991
,38,1000.00,4965.83,33.6400,0.000,-147.000
,39,1000.00,5007.40,33.9100,-38.046,-141.991
,40,1000.00,5081.54,34.5500,-73.500,-127.306
,41,1000.00,5199.49,32.6200,-103.944,-103.945
,42,1000.00,5242.12,32.2600,-127.305,-73.500
,43,1000.00,5328.60,34.1000,-141.991,-38.047
,44,1000.00,5419.80,33.8900,-147.000,-0.001
,45,1000.00,5082.57,37.8900,-141.991,38.046
,46,1000.00,5190.18,33.0500,-127.306,73.499
,47,1000.00,5156.78,34.6300,-103.945,103.944
,48,1000.00,5091.14,35.9500,-73.501,127.305
,49,1000.00,5073.96,36.5100,-38.047,141.991

Max,,1000.00,5419.80,38.7200
Min,,1000.00,4954.34,32.2600
Range,,0.00,465.46,6.4600
Mean,,1000.00,5120.95,35.9620
StdD,,0.00,81.05,1.7990
%StdD,,0.00,1.58,5.0025
%NonU,,0.00,4.54,8.9817
CTE,,N/A,N/A,N/A

Date/Time:,12-Mar-20 11:19:52 AM
Film name:,Poly on 1000A Oxide
Stage group:,49 pts radial
Lot ID:,kk_0312 Sel_pre
Wafer ID:,# 22 - Poly
Cassette recipe name:,SemiAuto -
Wafer recipe name:,POLY ON 1K OXIDE 49PT 3mmEE
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Poly (Å),MSE,X(mm),Y(mm)
,1,1000.00,5049.73,27.2200,0.000,0.000
,2,1000.00,5076.57,27.1200,0.000,49.000
,3,1000.00,5054.61,27.2200,34.648,34.648
,4,1000.00,5051.30,27.6800,49.000,0.000
,5,1000.00,5056.85,27.9400,34.648,-34.648
,6,1000.00,5049.33,27.7100,0.000,-49.000
,7,1000.00,5039.90,27.3400,-34.648,-34.648
,8,1000.00,5055.00,26.9500,-49.000,-0.000
,9,1000.00,5083.73,27.1900,-34.648,34.648
,10,1000.00,5117.90,26.7400,0.000,98.000
,11,1000.00,5069.80,27.0500,37.503,90.540
,12,1000.00,5045.04,26.8200,69.296,69.297
,13,1000.00,5045.48,27.2600,90.540,37.503
,14,1000.00,5063.17,28.0300,98.000,0.000
,15,1000.00,5086.60,28.4000,90.540,-37.503
,16,1000.00,5102.02,28.3900,69.297,-69.296
,17,1000.00,5099.21,28.6000,37.503,-90.540
,18,1000.00,5076.26,28.3200,0.000,-98.000
,19,1000.00,5045.18,27.5700,-37.503,-90.540
,20,1000.00,5022.46,27.0200,-69.296,-69.297
,21,1000.00,5026.13,26.9900,-90.540,-37.503
,22,1000.00,5058.21,27.1200,-98.000,-0.000
,23,1000.00,5106.99,27.1100,-90.540,37.503
,24,1000.00,5155.10,26.7200,-69.297,69.296
,25,1000.00,5167.46,26.2400,-37.503,90.540
,26,1000.00,5131.55,26.3500,0.000,147.000
,27,1000.00,5077.49,25.8200,38.046,141.991
,28,1000.00,5028.99,25.3500,73.500,127.306
,29,1000.00,5005.22,24.9000,103.945,103.945
,30,1000.00,5008.03,25.0600,127.306,73.500
,31,1000.00,5028.38,25.7600,141.991,38.047
,32,1000.00,5058.25,26.4900,147.000,0.000
,33,1000.00,5094.90,27.1400,141.991,-38.046
,34,1000.00,5124.10,27.2200,127.306,-73.500
,35,1000.00,5144.66,27.0200,103.945,-103.944
,36,1000.00,5147.20,27.0000,73.500,-127.306
,37,1000.00,5134.14,27.2400,38.047,-141.991
,38,1000.00,5108.75,27.2300,0.000,-147.000
,39,1000.00,5058.71,26.6400,-38.046,-141.991
,40,1000.00,5016.82,25.5700,-73.500,-127.306
,41,1000.00,4987.30,24.4300,-103.944,-103.945
,42,1000.00,4987.53,24.4600,-127.305,-73.500
,43,1000.00,5004.06,25.0000,-141.991,-38.047
,44,1000.00,5053.24,25.8500,-147.000,-0.001
,45,1000.00,5123.04,26.1200,-141.991,38.046
,46,1000.00,5183.66,25.6300,-127.306,73.499
,47,1000.00,5190.08,27.0400,-103.945,103.944
,48,1000.00,5412.15,27.8000,-73.501,127.305
,49,1000.00,5269.97,26.5400,-38.047,141.991

Max,,1000.00,5412.15,28.6000
Min,,1000.00,4987.30,24.4300
Range,,0.00,424.85,4.1700
Mean,,1000.00,5085.35,26.7839
StdD,,0.00,74.27,1.0104
%StdD,,0.00,1.46,3.7725
%NonU,,0.00,4.18,7.7845
CTE,,N/A,N/A,N/A

Date/Time:,12-Mar-20 11:17:35 AM
Film name:,Poly on 1000A Oxide
Stage group:,49 pts radial
Lot ID:,kk_0312 Sel_pre
Wafer ID:,# 21 - Poly
Cassette recipe name:,SemiAuto -
Wafer recipe name:,POLY ON 1K OXIDE 49PT 3mmEE
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Poly (Å),MSE,X(mm),Y(mm)
,1,1000.00,5052.21,27.4600,0.000,0.000
,2,1000.00,5074.96,27.5000,0.000,49.000
,3,1000.00,5051.67,27.8700,34.648,34.648
,4,1000.00,5052.31,27.9400,49.000,0.000
,5,1000.00,5056.58,28.3100,34.648,-34.648
,6,1000.00,5046.75,27.6300,0.000,-49.000
,7,1000.00,5040.59,27.3900,-34.648,-34.648
,8,1000.00,5062.59,27.3000,-49.000,-0.000
,9,1000.00,5089.43,27.4700,-34.648,34.648
,10,1000.00,5100.27,27.4000,0.000,98.000
,11,1000.00,5057.51,27.2400,37.503,90.540
,12,1000.00,5040.37,27.3700,69.296,69.297
,13,1000.00,5046.37,27.7500,90.540,37.503
,14,1000.00,5067.44,28.2800,98.000,0.000
,15,1000.00,5090.12,28.7300,90.540,-37.503
,16,1000.00,5100.96,29.1000,69.297,-69.296
,17,1000.00,5091.37,28.8300,37.503,-90.540
,18,1000.00,5064.58,28.5000,0.000,-98.000
,19,1000.00,5034.95,27.8300,-37.503,-90.540
,20,1000.00,5023.48,27.6700,-69.296,-69.297
,21,1000.00,5034.02,26.7900,-90.540,-37.503
,22,1000.00,5075.49,27.1100,-98.000,-0.000
,23,1000.00,5127.59,27.2100,-90.540,37.503
,24,1000.00,5173.42,26.9900,-69.297,69.296
,25,1000.00,5158.36,26.8900,-37.503,90.540
,26,1000.00,5102.08,25.9400,0.000,147.000
,27,1000.00,5053.01,26.6000,38.046,141.991
,28,1000.00,5009.16,24.9700,73.500,127.306
,29,1000.00,5000.35,24.8500,103.945,103.945
,30,1000.00,5009.70,25.4900,127.306,73.500
,31,1000.00,5034.76,26.1800,141.991,38.047
,32,1000.00,5066.65,27.0100,147.000,0.000
,33,1000.00,5103.36,27.6400,141.991,-38.046
,34,1000.00,5128.55,27.5600,127.306,-73.500
,35,1000.00,5139.89,27.7800,103.945,-103.944
,36,1000.00,5137.05,27.8900,73.500,-127.306
,37,1000.00,5112.92,27.5200,38.047,-141.991
,38,1000.00,5077.91,27.2100,0.000,-147.000
,39,1000.00,5033.76,26.4800,-38.046,-141.991
,40,1000.00,4998.36,25.5700,-73.500,-127.306
,41,1000.00,4975.78,24.9400,-103.944,-103.945
,42,1000.00,4985.70,24.9400,-127.305,-73.500
,43,1000.00,5023.05,25.6700,-141.991,-38.047
,44,1000.00,5071.61,26.5700,-147.000,-0.001
,45,1000.00,5151.77,26.0400,-141.991,38.046
,46,1000.00,5187.57,26.2300,-127.306,73.499
,47,1000.00,5327.40,27.7700,-103.945,103.944
,48,1000.00,5369.19,27.7000,-73.501,127.305
,49,1000.00,5165.41,26.4500,-38.047,141.991

Max,,1000.00,5369.19,29.1000
Min,,1000.00,4975.78,24.8500
Range,,0.00,393.41,4.2500
Mean,,1000.00,5083.23,27.0931
StdD,,0.00,74.43,1.0422
%StdD,,0.00,1.46,3.8467
%NonU,,0.00,3.87,7.8433
CTE,,N/A,N/A,N/A

Date/Time:,12-Mar-20 11:15:02 AM
Film name:,SIN ON 1K FIX OX RC
Stage group:,49 pts radial
Lot ID:,kk_0312 Sel_pre
Wafer ID:,# 19  - SiN
Cassette recipe name:,SemiAuto -
Wafer recipe name:,Nitride on 1kA Fix Ox 49pt 3mm
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Si3N4 (Å),MSE,X(mm),Y(mm)
,1,1000.00,2916.63,0.0041,0.000,0.000
,2,1000.00,2923.90,0.0045,0.000,49.000
,3,1000.00,2936.42,0.0042,34.648,34.648
,4,1000.00,2945.84,0.0044,49.000,0.000
,5,1000.00,2947.49,0.0047,34.648,-34.648
,6,1000.00,2944.81,0.0042,0.000,-49.000
,7,1000.00,2934.12,0.0062,-34.648,-34.648
,8,1000.00,2921.60,0.0050,-49.000,-0.000
,9,1000.00,2917.41,0.0042,-34.648,34.648
,10,1000.00,2968.80,0.0023,0.000,98.000
,11,1000.00,2982.09,0.0039,37.503,90.540
,12,1000.00,2997.78,0.0057,69.296,69.297
,13,1000.00,3008.83,0.0059,90.540,37.503
,14,1000.00,3014.41,0.0067,98.000,0.000
,15,1000.00,3009.78,0.0090,90.540,-37.503
,16,1000.00,3005.25,0.0071,69.297,-69.296
,17,1000.00,3007.58,0.0055,37.503,-90.540
,18,1000.00,3008.71,0.0047,0.000,-98.000
,19,1000.00,3002.42,0.0052,-37.503,-90.540
,20,1000.00,2986.39,0.0050,-69.296,-69.297
,21,1000.00,2970.93,0.0045,-90.540,-37.503
,22,1000.00,2959.49,0.0013,-98.000,-0.000
,23,1000.00,2953.19,0.0005,-90.540,37.503
,24,1000.00,2953.54,0.0006,-69.297,69.296
,25,1000.00,2959.31,0.0005,-37.503,90.540
,26,1000.00,3020.68,0.0016,0.000,147.000
,27,1000.00,3031.85,0.0035,38.046,141.991
,28,1000.00,3046.53,0.0050,73.500,127.306
,29,1000.00,3065.20,0.0055,103.945,103.945
,30,1000.00,3077.36,0.0055,127.306,73.500
,31,1000.00,3086.46,0.0057,141.991,38.047
,32,1000.00,3102.34,0.0064,147.000,0.000
,33,1000.00,3115.70,0.0066,141.991,-38.046
,34,1000.00,3066.16,0.0053,127.306,-73.500
,35,1000.00,3075.17,0.0057,103.945,-103.944
,36,1000.00,3142.03,0.0078,73.500,-127.306
,37,1000.00,3048.85,0.0065,38.047,-141.991
,38,1000.00,3122.11,0.0079,0.000,-147.000
,39,1000.00,3109.45,0.0089,-38.046,-141.991
,40,1000.00,3071.22,0.0063,-73.500,-127.306
,41,1000.00,3048.75,0.0053,-103.944,-103.945
,42,1000.00,3039.80,0.0056,-127.305,-73.500
,43,1000.00,3025.10,0.0022,-141.991,-38.047
,44,1000.00,3017.10,0.0007,-147.000,-0.001
,45,1000.00,3005.47,0.0003,-141.991,38.046
,46,1000.00,3001.19,0.0003,-127.306,73.499
,47,1000.00,3002.61,0.0003,-103.945,103.944
,48,1000.00,3008.52,0.0005,-73.501,127.305
,49,1000.00,3009.74,0.0006,-38.047,141.991

Max,,1000.00,3142.03,0.0090
Min,,1000.00,2916.63,0.0003
Range,,0.00,225.40,0.0087
Mean,,1000.00,3010.53,0.0044
StdD,,0.00,58.23,0.0024
%StdD,,0.00,1.93,55.2596
%NonU,,0.00,3.74,99.6236
CTE,,N/A,N/A,N/A


,Statistics,SiO2 (Å)
,Max,2579.1800
,Min,1000.0000
,Range,1579.1800
,Mean,1359.0848
,StdD,559.9599
,%StdD,41.2012
,%NonU,58.0972
,CTE,N/A
